Login Time (Pacific Daylight Time),Source IP,Login Type,Status,Browser,Platform,Application,Login URL,TLS Protocol,TLS Cipher Suite,Country Code,Country,Subdivision,City,Postal Code,Latitude,Longitude,HTTP Method,Authentication Method Reference,Login Subtype,Forwarded For IP
"12/11/2024, 6:11 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/11/2024, 5:14 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/11/2024, 5:13 PM",99.11.236.239,Application,Success,Firefox 133,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/11/2024, 9:04 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/11/2024, 8:48 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/11/2024, 8:22 AM",99.11.236.239,Application,Success,Firefox 133,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/10/2024, 3:46 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/10/2024, 3:12 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/10/2024, 3:10 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/10/2024, 11:11 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
